dataset	study_role	sample	stage_region	n_spots	n_graph_edges	mean_CM_BZ1_TRANSITION	median_CM_BZ1_TRANSITION	p90_CM_BZ1_TRANSITION	mean_CM_BZ2_MECHANICAL_EDGE	median_CM_BZ2_MECHANICAL_EDGE	p90_CM_BZ2_MECHANICAL_EDGE	mean_FAP_POSTN_PATHO_FIBROBLAST	median_FAP_POSTN_PATHO_FIBROBLAST	p90_FAP_POSTN_PATHO_FIBROBLAST	mean_CTHRC1_REPARATIVE_CF	median_CTHRC1_REPARATIVE_CF	p90_CTHRC1_REPARATIVE_CF	mean_MYOFIBROBLAST_CONTRACTILE	median_MYOFIBROBLAST_CONTRACTILE	p90_MYOFIBROBLAST_CONTRACTILE	mean_CCR2_IL1B_MYLOID	median_CCR2_IL1B_MYLOID	p90_CCR2_IL1B_MYLOID	mean_TGFB_SIGNALING	median_TGFB_SIGNALING	p90_TGFB_SIGNALING	mean_ECM_REMODELING	median_ECM_REMODELING	p90_ECM_REMODELING	mean_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	median_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	p90_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	mean_HYPOXIA_ISCHEMIA	median_HYPOXIA_ISCHEMIA	p90_HYPOXIA_ISCHEMIA	mean_CM_ELECTRICAL_CALCIUM_FUNCTION	median_CM_ELECTRICAL_CALCIUM_FUNCTION	p90_CM_ELECTRICAL_CALCIUM_FUNCTION	mean_INJURY_STRESS_IMMEDIATE_EARLY	median_INJURY_STRESS_IMMEDIATE_EARLY	p90_INJURY_STRESS_IMMEDIATE_EARLY	mean_source_bz_baseline	median_source_bz_baseline	p90_source_bz_baseline	graph_morans_i_source_bz_baseline	mean_generic_fibrosis_baseline	median_generic_fibrosis_baseline	p90_generic_fibrosis_baseline	graph_morans_i_generic_fibrosis_baseline	mean_cardiomyocyte_composition_surrogate	median_cardiomyocyte_composition_surrogate	p90_cardiomyocyte_composition_surrogate	mean_fibroblast_composition_surrogate	median_fibroblast_composition_surrogate	p90_fibroblast_composition_surrogate	mean_mechanical_border_score	median_mechanical_border_score	p90_mechanical_border_score	graph_morans_i_mechanical_border_score	mean_immune_fibrotic_activation_score	median_immune_fibrotic_activation_score	p90_immune_fibrotic_activation_score	graph_morans_i_immune_fibrotic_activation_score	mean_fibroblast_scar_repair_score	median_fibroblast_scar_repair_score	p90_fibroblast_scar_repair_score	graph_morans_i_fibroblast_scar_repair_score	mean_raw_mechanical_border_score	median_raw_mechanical_border_score	p90_raw_mechanical_border_score	mean_raw_immune_fibrotic_activation_score	median_raw_immune_fibrotic_activation_score	p90_raw_immune_fibrotic_activation_score	mean_raw_fibroblast_scar_repair_score	median_raw_fibroblast_scar_repair_score	p90_raw_fibroblast_scar_repair_score	mean_boundary_transition_index	median_boundary_transition_index	p90_boundary_transition_index	graph_morans_i_boundary_transition_index	detected_genes_CM_BZ1_TRANSITION	detected_genes_CM_BZ2_MECHANICAL_EDGE	detected_genes_FAP_POSTN_PATHO_FIBROBLAST	detected_genes_CTHRC1_REPARATIVE_CF	detected_genes_MYOFIBROBLAST_CONTRACTILE	detected_genes_CCR2_IL1B_MYLOID	detected_genes_TGFB_SIGNALING	detected_genes_ECM_REMODELING	detected_genes_ENDOTHELIAL_INFLAMMATORY_FIBROSIS	detected_genes_HYPOXIA_ISCHEMIA	detected_genes_CM_ELECTRICAL_CALCIUM_FUNCTION	detected_genes_INJURY_STRESS_IMMEDIATE_EARLY	detected_genes_source_bz_baseline	detected_genes_generic_fibrosis_baseline	detected_genes_cardiomyocyte_composition_surrogate	detected_genes_fibroblast_composition_surrogate
GSE176092	mouse_mechanical_external	GSM5355666_WT_MI_day7_1	day7	3154	11061	2.0987653044695103	1.9987141327642137	3.277973431625838	1.039606960481467	0.9467698862721091	1.6227627223614638	1.4640042698665843	1.1261151094266422	2.619637247157353	1.0668274584335604	0.6794227772150797	2.233807273376289	1.461412644622264	1.0533887761501286	2.740445053855595	0.19228361795487134	0.12308344448368747	0.45285365880271483	0.4408306534495675	0.33677581146211033	0.8332250938698631	2.0551620455417767	1.6476315263379797	3.5608687637488736	0.17442197476822954	0.11650386553001726	0.4101499709455806	0.6026967957179997	0.5948650338155956	0.7345112979344194	1.1373175819237167	1.3290911518887487	1.505422922542763	0.5156850344659095	0.47691318492164914	0.7793948477540189	1.295993810628485	1.1229161090815687	2.280160286685583	0.814548904430994	2.5123992057853557	2.015409914478819	4.2984775338139	0.9490447412985414	3.148613611658692	3.660085166760153	3.878120825481838	1.4870197924321893	1.2805367529410985	2.5051115847802614	3.8072835238889326e-16	-0.46476079206068643	3.0920936355233577	0.8220860636847517	-4.0550948775148395e-17	-1.117199289042964	3.9256259959773367	0.9250192840918721	4.4155477555161584e-16	-1.8794554902576	5.935483919011988	0.949734267290553	3.1383722649509775	2.91112313560032	4.898463639801084	2.097118541271023	1.5817132991278802	3.805658800578626	6.047406418464186	4.451511857999849	11.116237013378527	1.3516982925049465e-17	-0.3140658041410902	1.1608752411888177	0.9049854394049108	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5355668_WT_MI_day14_1	day14	1153	4046	2.836774956350853	2.7064061257312217	3.45623719116156	1.4615048749773065	1.4079903416181558	1.8202754285602674	0.6030201533575905	0.5240968114755717	0.9476404446834641	0.2764014806782162	0.2427523002259248	0.48540573125817976	0.775740499109795	0.7093349750910288	1.1212245659401772	0.05189652053327775	0.041122211406064264	0.11970861965362187	0.3634855284832241	0.3394604343018	0.558500723163085	1.0299300459041614	0.9248649993303966	1.5392572179070108	0.09871152911457191	0.08093315245184861	0.20884624154983367	0.7080226205543914	0.7083677523950899	0.8502817950420363	1.5484819922082698	1.5506500506321816	1.6765907841918537	0.7684236299596464	0.739072692595074	0.9921294704874505	2.1202952104838193	2.0238131846365026	2.673061566173249	0.7372797252266537	1.164079530272869	1.0293780420078424	1.7840873210366508	0.723907037376069	4.236623216546476	4.222119831885965	4.382136982312969	0.9125279739587459	0.8679579001750678	1.318358455698248	-4.652729969634654e-16	-0.5763708840341069	2.9388236289066	0.787133614852347	2.5882736254921253e-16	-0.5953308847668577	3.4414745216957248	0.6197155244486536	7.395067501406073e-17	-1.2999069307333875	5.6661243606611436	0.6890373445113365	4.298279831328159	4.09603110120974	5.280811159483446	1.0184022023740924	0.8998840232591027	1.5661523617954218	2.685092179049763	2.3680654846383917	4.085574385779895	1.0014153908154057e-17	-0.10205551327853646	0.6547735862744143	0.4478609027306431	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943189_WT_MI_day1_1	day1	1577	5527	2.873716877181003	2.8728834007781154	3.2635241347619512	1.642690490717855	1.6199319117807465	2.0221068478227604	0.3655141862832979	0.35568418706033	0.5657477684488466	0.21251501926188876	0.2090747005745346	0.35891580186797045	0.3955474911957558	0.3776453618105305	0.6308260074115164	0.33957268087904197	0.3032041772397535	0.6321034089663254	0.4128385017015943	0.4069208776701962	0.6110848856675718	0.5494119856328418	0.5390849980706165	0.7717555521440674	0.11265321513551312	0.09983660962474064	0.25819853002013693	0.7868304554023465	0.7825365548636887	1.0006487156409507	1.5817751478822326	1.5888738094890702	1.7515201082486276	0.8754667057814723	0.8668921435218481	1.1008834737394522	2.2971914149356745	2.256247264658439	2.7992703209277257	0.6879631840130491	0.5720656118812601	0.5605465909960611	0.8645187340760841	0.22901548428122886	4.272643869489403	4.283529387519202	4.3964205501912295	0.5055877687420851	0.5014912356512929	0.7689292472334845	6.758491462524732e-17	-0.15465198293781876	2.5055907204939256	0.7414840486338088	-3.9199250482643446e-16	-0.2783294997533031	3.0818232447564915	0.5962527439038814	-3.018792853261047e-16	-0.21924935597564543	3.9373869004312954	0.24745777610466604	4.516407367898858	4.4739937801781675	5.2436626269223146	1.1179253688639341	1.0619778958350472	1.6595687324026311	1.5229886823737844	1.4772778400579725	2.1594297177683086	-9.011321950032976e-18	-0.025889709341753536	0.5934169498236312	0.13738299952985325	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943190_WT_MI_day1_2	day1	1640	5756	2.283842061344467	2.236831632913886	2.9911091580080584	1.255527674439033	1.1800748128121759	1.8307052736229386	0.297052256006305	0.2750322394597807	0.519626875826687	0.19211475912747122	0.1730501837400652	0.3574221141258669	0.3054650731406324	0.28456579686455236	0.518261310134473	0.39517334050460456	0.28168627647863975	0.9034824836369035	0.2807041951464883	0.2529779710740466	0.5091851475873695	0.4965840308904132	0.4879160981115429	0.7370066942579719	0.10403318703378596	0.08192953259662815	0.23494146515048428	0.7903926836779603	0.7801247216163671	1.0845215666396217	1.4567442628875253	1.5028198843102127	1.6499879043697494	0.7668934968510747	0.7354476033254373	1.075500944967152	1.7249565693348936	1.6185240664123568	2.5125187661580246	0.7116943677015363	0.4694078918219321	0.4499079834359446	0.769179107892481	0.36545784869216824	3.9747776749217407	4.052294245333115	4.2133179364032	0.5100050103734706	0.5037540320636882	0.7895028480312267	2.5670522618162154e-16	-0.28109574338587895	2.5839800879126833	0.7431175217271543	1.38642485026361e-16	-0.750000947654434	3.76140667995426	0.7675012957549232	1.2564475205513966e-16	-0.29277680768554026	4.0987931523513685	0.41116048508431624	3.5393697357835	3.415900741281427	4.787586353040347	0.9729297916573979	0.7859755728040819	1.8262476222748039	1.291216119164822	1.2433715060195845	1.9709263762785243	7.311224796312007e-18	-0.07200619840772307	0.6460504521993318	0.38168369588463763	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943191_WT_MI_day1_3	day1	1457	5109	1.9425583894064355	1.6831854413337717	2.941949912673762	1.0510410140445572	0.9001607943052389	1.7262002910069283	0.3120875150737025	0.25260668602323305	0.5800034889708308	0.15867857689966802	0.12941475934550345	0.32824834507279127	0.34829817587878575	0.28703710936221266	0.6344639367036452	0.17940114950553948	0.10834488378602924	0.48634840735244067	0.2208435768406474	0.17775146875907108	0.4609912295429718	0.536221107157891	0.4905202287484066	0.8417373807515804	0.061214157141564474	0.047302470340327446	0.15174289687400366	0.5786940733581772	0.5720908115540176	0.7070871877769136	1.4921967036445147	1.4980593170813614	1.6196229796020727	0.6203536771831661	0.5699182649762643	0.9218599279422176	1.4454497763087129	1.201608095912843	2.491060276428657	0.8561898992629929	0.5421668488164879	0.46382179764498926	0.9859881881158434	0.6066238309178066	3.8488905851396855	3.8410113506405117	3.991405660477219	0.5219340506878852	0.4968822257875868	0.7861418207598208	-7.924721658271536e-17	-0.8548952531108427	3.2432381264273715	0.8890005420840279	8.778153221470009e-17	-1.0430229214348474	4.392423761242845	0.7883426617306819	2.243305823264558e-16	-1.0983252976309377	5.041484104669933	0.60650041337658	2.9935994034509927	2.5471493047349965	4.629500049729258	0.7123322414198894	0.514139321154235	1.511125489893048	1.3552853750100473	1.1565078957271682	2.3183795231682574	1.7678225237682657e-17	-0.09937646530093998	0.5484082372788311	0.42535081173147393	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943192_WT_MI_day7_2	day7	920	3228	2.9119375801193073	2.786516118042931	3.638331684521376	1.401154805726176	1.3372649889822967	1.807255135694804	1.3245878204573505	1.1410153878999179	2.0063144032853315	0.9237846234612931	0.7788212846472218	1.5238141828934815	1.0894298582026176	0.9778668555995915	1.58812793646567	0.14344481155967545	0.10829097622232095	0.276921415202702	0.37995871864818803	0.3474566931497115	0.6204089249998287	1.9518524084224562	1.7136660387994718	2.869350789476384	0.16896778499555773	0.14632601956021726	0.3336532453447704	0.7327041750504638	0.7366449535840791	0.8798276985026678	1.565859562535655	1.582551434663961	1.732805026044137	0.946607477764071	0.9257357124641434	1.2263487711771375	2.0236693732563076	1.892264647968604	2.671258435775657	0.6739022904079658	2.3250855587769976	2.0268880981578214	3.408056430955931	0.8609577906444819	4.069269373746427	4.115931375380817	4.229503297990863	1.462700449889683	1.334548578318869	2.134991942849846	-5.319416404943142e-16	-0.5207411791395292	2.851464959250906	0.7193176832667705	6.521353505515593e-16	-0.7712472345148205	3.3294039808145826	0.7697109851861315	4.711207269713708e-16	-1.524073752988474	5.784047103134948	0.8446027388092703	4.313092385845483	4.113959619079037	5.415058418077903	1.8479913506652141	1.6067717293562618	2.8007413476223024	5.289654710543718	4.592121978636396	7.885663796731065	1.1102230246251566e-17	-0.18774234946495075	0.8613988693597409	0.7148176501128283	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943193_WT_MI_day7_3	day7	1301	4574	2.636717908158665	2.5560034426636498	3.5437839038811174	1.2883157370159373	1.2606131779466867	1.7303521896435816	1.168688540665525	1.0138831127128838	1.928109694425778	0.7834610409120057	0.6546345760362574	1.4481382360977815	0.9880493534883932	0.8996196072451773	1.5516506561033714	0.052322739855359957	0.03718142748722127	0.14325856586959348	0.32031932716259837	0.2934960757643763	0.5646616189104442	1.721974683457126	1.5094215278562646	2.8020349033942784	0.13332191251588343	0.10938841797114936	0.29874547876389745	0.6157367140054263	0.6396584354415272	0.8215531771867636	1.4403251957577212	1.5127080143247134	1.6623852339695997	0.698927283515213	0.6975955193110049	0.9910980598176707	1.8939184777650926	1.8093051004706784	2.6138946994540477	0.49925322013092416	2.07729444375269	1.823872313242385	3.329431022327109	0.8360526764470315	4.019081613641928	4.151902227356167	4.262686887939928	1.2384365417281034	1.1324280861468148	1.9532897133291311	-4.3692097510229064e-16	-0.2288412289441726	2.5506098559128527	0.6072270264300631	1.966144387960308e-16	-0.4681699636737456	3.140478866353504	0.6028472463495865	-1.0923024377557266e-16	-1.2230732259761525	6.124526762140611	0.8420455286179328	3.925033645174602	3.806213464878338	5.217140636621981	1.5413306076834834	1.3517662177319445	2.5235183389108626	4.66217361852305	4.053389810770273	7.699032296195148	1.3653780471946583e-18	-0.12096992150761011	0.7761337665667226	0.6336267934919418	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943194_WT_MI_day14_2	day14	1806	6362	2.4735375197079765	2.373884875142969	3.2044982768906554	1.288017852716317	1.222871967202765	1.7026870001147056	0.6876601380897109	0.5470217947084508	1.2847071031161637	0.3986663216442173	0.3171059830193179	0.8082470316782193	0.6835553231008561	0.5717258375914779	1.1874511977313493	0.10189981041804132	0.08795127908721265	0.21338105120226478	0.25736480809657564	0.23592448261062526	0.43224956913541	1.134041227565539	0.9376524336017824	2.0213388323234165	0.15292172218424624	0.12812742820396705	0.31399443844207575	0.643045086375054	0.6448106531987463	0.7974623127726254	1.4853897331537842	1.5030892358651373	1.634629923733937	0.7009916561261464	0.6674938571670865	0.9554172050450105	1.8716630750730991	1.754593473613066	2.5896938872234943	0.7350396671746866	1.2635080387729452	1.0185730944121725	2.3297130573797897	0.8593415394725133	4.238429600541245	4.248882747425831	4.3714482796020535	0.9642650179800828	0.8552459601137218	1.6118308818907732	6.294952254796015e-17	-0.4792809325870272	2.946379750456938	0.7887181290175262	3.1474761273980073e-17	-0.5421527905736173	3.0065339897526755	0.5711421080849397	-1.1016166445893026e-16	-1.5430836823893221	6.497591145181552	0.8461184320318258	3.7615553724242936	3.58758458553719	4.863800119312036	1.046924756604328	0.8881055012282959	1.7967581860640685	2.9039230104003235	2.343792840197376	5.294122846237253	-1.1311242332836589e-17	-0.13035691302416963	0.7576460468834274	0.6194865684114044	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE176092	mouse_mechanical_external	GSM5943195_WT_MI_day14_3	day14	1425	5003	2.9806522173838106	2.941885933389907	3.5058058960501635	1.5603471412926764	1.5528169285338231	1.8472400778933737	1.0795878716804757	0.9728941774298607	1.5590441117474108	0.6658549751560239	0.5914870704899053	1.0492718176271192	1.00458714679128	0.9310396606317939	1.4381459636352434	0.06621038565008905	0.053349195661486305	0.15816071430861053	0.37951829631404865	0.35896074925742916	0.5753613307858241	1.6975247057036107	1.5452356895620727	2.3900059739802	0.1658927627085181	0.1463364283630898	0.3400420880909428	0.699225721849333	0.698428038495659	0.8591139286797157	1.4868840546015303	1.4948151759152257	1.6396528650218256	0.9297507384654375	0.9233482407713905	1.1321483594933224	2.304406794335613	2.2638267519689115	2.782879903950375	0.6015113901011426	1.9586205205791671	1.767930318046578	2.764039621404141	0.8200768467136781	4.1646496663427826	4.170902937774269	4.3114717682143295	1.390298703558015	1.305028475971608	1.9274254846207994	9.174727254726908e-16	-0.16015196670338544	2.624209588517413	0.6757850163723454	5.983517774821896e-17	-0.5049932254335137	3.1005419870459585	0.5677474086748759	1.8947806286936006e-16	-1.345227736886822	5.7188484704249785	0.7889331657935359	4.540999358676487	4.4848042033004765	5.331271008190865	1.5253165536446132	1.3885019224643103	2.1850936888047445	4.44755469933139	4.000751545508571	6.364755967427349	1.495879443705474e-17	-0.15672265563371884	0.8725502386086889	0.6431060715858103	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE265828	mouse_scar_external	GSM8229742_control	control	1175	4157	0.8318356577190495	0.819238992700429	1.4107436048957849	0.4577879960929214	0.4378599026781695	0.8398723765577402	0.15889301303943482	0.14320853702109482	0.366908158764895	0.07057789626663112	0.0	0.2263752899939325	0.2877358414457736	0.25008944714454073	0.5961519064753443	0.01723319304842782	0.0	0.0	0.06226984750646214	0.0	0.20211680666363682	0.3795009709475384	0.3578430785937359	0.7347846448157958	0.031629896517276955	0.0	0.16540602515235892	0.4452194088279646	0.43911090396034796	0.6976460278091182	1.334998890162103	1.3433284433889234	1.586680237305544	0.2647321895525237	0.26738958116140693	0.49304036316197203	0.5215969818263099	0.4749955521892069	1.1126452941581235	0.24784467129370064	0.3063165453860195	0.26872231424749826	0.6863367697856612	0.0699193132468676	4.053963746539778	4.067981965516095	4.229646173713786	0.45607989731174675	0.4215752956862413	0.9154383833095788	-1.1943165132988918e-16	-0.14128932223599946	2.1312595063442643	0.2691241312339533	-7.861323885005364e-17	-0.3727256454608044	2.211917136144234	0.04287473427397651	6.047172219234895e-17	-0.5295311727757728	3.7891209312871483	0.11676613745589012	1.2896236538119707	1.2419773294535659	2.0975904770081475	0.23839605359432475	0.20471776671010933	0.5017522880369257	0.896707721699378	0.814010247901606	1.6915568341446712	-1.209434443846979e-17	-0.06529994619615447	0.7634727634694546	0.02629640922491972	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE265828	mouse_scar_external	GSM8229743_dpi3	day3	1825	6381	2.4865911853876055	2.6186480061534376	3.5341025498236633	1.3715869409830768	1.360794395494507	2.0718208502609303	1.3660923184198368	1.4821600678907236	2.2401673141483767	0.8025758340336681	0.82239209402495	1.4531398593371139	1.2532090347022942	1.3024416748855046	2.053479869282678	0.2593202002207715	0.16483792849783116	0.7034478897212411	0.3520663138431415	0.3191909446507399	0.757489356889519	1.6972378636477254	1.8138369962719065	2.6290096233901825	0.10133199867515795	0.0	0.32339370775184456	0.5304820934116649	0.5294056433479332	0.8288747556689839	1.0065998248867714	1.0993643462314149	1.4659460884311333	0.4278242339349478	0.42559069973026437	0.7475870606182361	1.992127917279526	2.029756925783951	3.016922849960384	0.643983699228604	2.2301283197002366	2.4785400997950857	3.4294825852772544	0.828681391169298	3.4442909477303956	3.784228535272088	4.164533226963954	1.0639156344285454	1.0812483256210885	1.701379805492182	2.8616378673078006e-16	0.14567015751333634	2.3727737213289197	0.7601298571522017	-7.008092736264002e-17	-0.0798364404183381	3.303280894215255	0.7818643151935721	-5.295003400732801e-16	0.5730933887067458	4.695269365666933	0.8203444462562333	3.8581781263706825	4.014251126557775	5.499889504838817	1.9774788324837498	2.051664462945378	3.4414598984504856	5.119115050803525	5.5145591982992075	8.226640856637207	7.786769706960001e-18	-0.13759567921945418	0.8405891708083202	0.6882762674624077	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE265828	mouse_scar_external	GSM8229744_dpi5_female	day5	1572	5538	2.1072798803977597	2.055750714010911	3.409927702474838	1.2271595060046314	1.1576439843681579	1.8946776525052142	1.9665348880560756	2.147300525348868	2.6732301539111765	1.3997493510186612	1.5069303397693412	2.133223722102599	2.0064501999472766	2.204108256245241	2.887269416034751	0.33771797771582573	0.26704217809389746	0.78653991663627	0.4696682670981998	0.47018344825012814	0.8220645616605604	2.523480835038483	2.7680620868198793	3.360085258148877	0.18372751351930078	0.16123707953346486	0.4552111512601525	0.5313624796743159	0.5330244678932388	0.7991581426435166	0.6347517468671304	0.5345374502335984	1.323462545429168	0.4643176337234558	0.4543628269558787	0.7998773634920929	1.6670592023363777	1.6005474907602057	2.8173707503688665	0.7181932830964219	3.2625924331878022	3.6254151978350464	4.237500131676245	0.866362224952057	2.124028741245035	2.1116894768188015	3.9588024182990336	1.5100406204786372	1.5714251239470016	2.1497409542165804	3.3673940085322814e-16	-0.16205500785604757	2.6758176680151435	0.7453158790865896	4.971991153537597e-17	0.40106642843125767	2.748086711181752	0.7500758085959076	2.9379947725449436e-16	1.0589112820198339	4.108043521453844	0.8493125563181325	3.3344393864023916	3.2106309663904917	5.243964550468498	2.773921132870101	3.0341356171839307	3.887994368487021	7.896215274060497	8.670464163310879	10.839161434599147	2.1469961799366896e-17	0.16192354949538482	0.9513860625467349	0.8543646958124652	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
GSE265828	mouse_scar_external	GSM8229745_dpi5_male	day5	1424	4990	2.161419498392859	2.0700131735523675	3.5529342421586105	1.193188293070784	1.1166268640433366	1.9025984631658757	1.5591452627920537	1.7104839391538942	2.5484792360593347	1.1306979861130206	1.1592859793756465	2.0575371791000987	1.5265150688306308	1.4793734072045392	2.738120228547764	0.23799524266617195	0.1603846131765886	0.6405665965012377	0.3625792520883434	0.33384922388465943	0.7554068225181133	2.0720186791939468	2.2185279361259553	3.310768180282517	0.14513741759322857	0.0	0.40614460072568703	0.5884932737211246	0.5771037123998172	0.8725627438550232	0.8557311563086871	0.997424860873106	1.4343463895700304	0.4633208667442748	0.43617281796893026	0.8120771860904501	1.6529036690081353	1.523667756669751	2.8794512161257066	0.6472999560880875	2.603132956800193	2.862806635597445	4.157488929558469	0.9162193576885409	2.8831361489003338	3.7431253152491655	4.215766171643381	1.296634535853733	1.3359239738307063	2.1054846533652625	-2.494883201404846e-17	-0.3065270733870387	2.807170043036541	0.6896555655070855	1.4969299208429077e-16	-0.17915647085641356	3.338022640087867	0.8361295318016982	4.790175746697304e-16	0.6119739177230545	4.854032829612322	0.9149382584195052	3.3546077914636423	3.146534733395554	5.388122908876353	2.159719757546569	2.2615919734683043	3.679133436410773	6.288376996929652	6.820643067876489	10.55903120774329	-9.979532805619384e-18	-0.2542215418721552	0.99543884284232	0.8631188728028806	4	6	8	7	6	6	7	8	5	6	7	6	3	5	4	4
